Format Version,1.23,Take Name,H_superlong_3,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2021-03-23 03.41.41.773 ,Total Frames in Take,1674,Total Exported Frames,1674,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Isomed:Marker1,Isomed:Marker1,Isomed:Marker1,Isomed:Marker2,Isomed:Marker2,Isomed:Marker2,Isomed:Marker3,Isomed:Marker3,Isomed:Marker3,Shank:Marker1,Shank:Marker1,Shank:Marker1,Shank:Marker2,Shank:Marker2,Shank:Marker2,Shank:Marker3,Shank:Marker3,Shank:Marker3,Thigh:Marker1,Thigh:Marker1,Thigh:Marker1,Thigh:Marker2,Thigh:Marker2,Thigh:Marker2,Thigh:Marker3,Thigh:Marker3,Thigh:Marker3
,ID,"107CE0","107CE0","107CE0","107D00","107D00","107D00","107D10","107D10","107D10","107D50","107D50","107D50","107D40","107D40","107D40","107D30","107D30","107D30","107CF0","107CF0","107CF0","107D60","107D60","107D60","107D20","107D20","107D20"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
15,0.150000,-0.083511,0.789015,-0.326683,-0.106694,0.635993,-0.362317,-0.042964,0.780748,-0.286733,-0.145446,0.602577,-0.131802,-0.099613,0.397979,-0.131552,-0.130446,0.506696,-0.169785,0.175788,0.835720,-0.246997,-0.087765,0.781693,-0.085450,-0.062019,0.775688,-0.211016
16,0.160000,-0.083597,0.789041,-0.326692,-0.108182,0.635874,-0.362132,-0.042986,0.780757,-0.286708,-0.145564,0.602637,-0.131806,-0.099613,0.397979,-0.131552,-0.130446,0.506696,-0.169785,0.175603,0.835712,-0.246884,-0.087653,0.781763,-0.085360,-0.062102,0.775730,-0.210978
17,0.170000,-0.083583,0.789034,-0.326694,-0.108182,0.635874,-0.362132,-0.042935,0.780731,-0.286719,-0.145587,0.602636,-0.131769,-0.099792,0.398029,-0.131540,-0.130446,0.506696,-0.169785,0.175789,0.835723,-0.246905,-0.087727,0.781853,-0.085285,-0.062169,0.775777,-0.210930
18,0.180000,-0.083511,0.789015,-0.326683,-0.108182,0.635874,-0.362132,-0.042935,0.780731,-0.286719,-0.145541,0.602615,-0.131793,-0.099679,0.398022,-0.131551,-0.130446,0.506696,-0.169785,0.175513,0.835793,-0.246802,-0.087671,0.781840,-0.085265,-0.062044,0.775800,-0.210869
19,0.190000,-0.083528,0.789019,-0.326663,-0.106608,0.635992,-0.362294,-0.042935,0.780731,-0.286719,-0.145638,0.602674,-0.131786,-0.099726,0.397985,-0.131541,-0.130446,0.506696,-0.169785,0.175700,0.835804,-0.246822,-0.087710,0.781884,-0.085241,-0.062126,0.775843,-0.210826
20,0.200000,-0.083528,0.789019,-0.326663,-0.108182,0.635874,-0.362132,-0.042935,0.780731,-0.286719,-0.145620,0.602657,-0.131823,-0.099679,0.398022,-0.131551,-0.130446,0.506696,-0.169785,0.175700,0.835804,-0.246822,-0.087795,0.781937,-0.085225,-0.062021,0.775848,-0.210766
21,0.210000,-0.083528,0.789019,-0.326663,-0.108182,0.635874,-0.362132,-0.042935,0.780731,-0.286719,-0.145640,0.602672,-0.131815,-0.099603,0.397980,-0.131572,-0.130446,0.506696,-0.169785,0.175530,0.835804,-0.246788,-0.087776,0.781938,-0.085207,-0.062192,0.775911,-0.210743
22,0.220000,-0.083599,0.789039,-0.326673,-0.108195,0.635887,-0.362153,-0.042935,0.780731,-0.286719,-0.145493,0.602599,-0.131777,-0.099726,0.397985,-0.131541,-0.130446,0.506696,-0.169785,0.175700,0.835804,-0.246822,-0.087841,0.781969,-0.085208,-0.062280,0.775970,-0.210721
23,0.230000,-0.083528,0.789019,-0.326663,-0.106680,0.635980,-0.362299,-0.042935,0.780731,-0.286719,-0.145638,0.602674,-0.131786,-0.099726,0.397985,-0.131541,-0.130403,0.506665,-0.169776,0.175696,0.835776,-0.246776,-0.087961,0.782058,-0.085144,-0.062149,0.776031,-0.210633
24,0.240000,-0.083516,0.789015,-0.326659,-0.108182,0.635874,-0.362132,-0.042886,0.780758,-0.286739,-0.145638,0.602674,-0.131786,-0.099762,0.398017,-0.131574,-0.130446,0.506696,-0.169785,0.175402,0.835786,-0.246700,-0.088159,0.782160,-0.085090,-0.062197,0.776145,-0.210598
25,0.250000,-0.083511,0.789015,-0.326683,-0.108182,0.635874,-0.362132,-0.042935,0.780731,-0.286719,-0.145749,0.602738,-0.131791,-0.099857,0.398019,-0.131583,-0.130463,0.506715,-0.169772,0.175301,0.835878,-0.246660,-0.088010,0.782222,-0.085006,-0.062143,0.776259,-0.210568
26,0.260000,-0.083583,0.789034,-0.326694,-0.108399,0.635867,-0.362089,-0.042935,0.780731,-0.286719,-0.145733,0.602730,-0.131790,-0.099857,0.398019,-0.131583,-0.130446,0.506696,-0.169785,0.175280,0.835943,-0.246709,-0.087812,0.782258,-0.084956,-0.062316,0.776325,-0.210478
27,0.270000,-0.083528,0.789019,-0.326663,-0.106680,0.635980,-0.362299,-0.043005,0.780727,-0.286741,-0.145663,0.602671,-0.131779,-0.099875,0.398023,-0.131563,-0.130545,0.506702,-0.169812,0.175109,0.835943,-0.246676,-0.087724,0.782276,-0.084943,-0.062149,0.776401,-0.210409
28,0.280000,-0.083507,0.789017,-0.326702,-0.108182,0.635874,-0.362132,-0.042935,0.780731,-0.286719,-0.145638,0.602720,-0.131781,-0.099927,0.398068,-0.131584,-0.130446,0.506696,-0.169785,0.175109,0.835943,-0.246676,-0.087689,0.782348,-0.084827,-0.062155,0.776523,-0.210339
29,0.290000,-0.083521,0.789057,-0.326670,-0.108182,0.635874,-0.362132,-0.043005,0.780727,-0.286741,-0.145730,0.602735,-0.131809,-0.099989,0.398112,-0.131588,-0.130446,0.506696,-0.169785,0.175125,0.835996,-0.246599,-0.087689,0.782348,-0.084827,-0.062379,0.776644,-0.210224
30,0.300000,-0.083528,0.789019,-0.326663,-0.108413,0.635881,-0.362111,-0.042935,0.780731,-0.286719,-0.145748,0.602786,-0.131785,-0.099798,0.397980,-0.131584,-0.130449,0.506686,-0.169801,0.175333,0.836004,-0.246558,-0.087731,0.782359,-0.084756,-0.062476,0.776707,-0.210228
31,0.310000,-0.083599,0.789039,-0.326673,-0.106666,0.635978,-0.362322,-0.042964,0.780748,-0.286733,-0.145671,0.602751,-0.131775,-0.099809,0.397979,-0.131564,-0.130446,0.506696,-0.169785,0.175167,0.836047,-0.246482,-0.087542,0.782361,-0.084732,-0.062474,0.776774,-0.210109
32,0.320000,-0.083598,0.788997,-0.326661,-0.108195,0.635887,-0.362153,-0.042935,0.780731,-0.286719,-0.145752,0.602781,-0.131767,-0.099798,0.397980,-0.131584,-0.130494,0.506709,-0.169805,0.175078,0.836077,-0.246452,-0.087443,0.782367,-0.084675,-0.062477,0.776888,-0.210054
33,0.330000,-0.083528,0.789019,-0.326663,-0.108182,0.635874,-0.362132,-0.042935,0.780731,-0.286719,-0.145693,0.602752,-0.131781,-0.099927,0.398068,-0.131584,-0.130446,0.506696,-0.169785,0.175078,0.836077,-0.246452,-0.087601,0.782454,-0.084617,-0.062517,0.776908,-0.209997
34,0.340000,-0.083528,0.789019,-0.326663,-0.108182,0.635874,-0.362132,-0.042935,0.780731,-0.286719,-0.145748,0.602786,-0.131785,-0.099798,0.397980,-0.131584,-0.130545,0.506702,-0.169812,0.175058,0.836084,-0.246415,-0.087184,0.782493,-0.084532,-0.062820,0.777088,-0.209960
35,0.350000,-0.083599,0.789039,-0.326673,-0.108413,0.635881,-0.362111,-0.043005,0.780727,-0.286741,-0.145653,0.602747,-0.131793,-0.099873,0.398014,-0.131602,-0.130463,0.506715,-0.169772,0.175058,0.836084,-0.246415,-0.087115,0.782542,-0.084471,-0.062540,0.777194,-0.209930
36,0.360000,-0.083528,0.789019,-0.326663,-0.106680,0.635980,-0.362299,-0.042935,0.780731,-0.286719,-0.145748,0.602786,-0.131785,-0.100011,0.398101,-0.131583,-0.130463,0.506715,-0.169772,0.174819,0.836162,-0.246366,-0.087064,0.782586,-0.084456,-0.062640,0.777244,-0.209917
37,0.370000,-0.083525,0.789021,-0.326682,-0.108182,0.635874,-0.362132,-0.042935,0.780731,-0.286719,-0.145567,0.602748,-0.131771,-0.099875,0.398023,-0.131563,-0.130494,0.506709,-0.169805,0.174798,0.836199,-0.246287,-0.086935,0.782633,-0.084420,-0.062328,0.777291,-0.209923
38,0.380000,-0.083528,0.789019,-0.326663,-0.108182,0.635874,-0.362132,-0.042835,0.780731,-0.286751,-0.145748,0.602786,-0.131785,-0.100002,0.398102,-0.131602,-0.130446,0.506696,-0.169785,0.174976,0.836223,-0.246286,-0.086837,0.782699,-0.084320,-0.062316,0.777334,-0.209888
39,0.390000,-0.083511,0.789015,-0.326683,-0.108182,0.635874,-0.362132,-0.042964,0.780748,-0.286733,-0.145621,0.602780,-0.131775,-0.100011,0.398101,-0.131583,-0.130446,0.506696,-0.169785,0.174810,0.836193,-0.246248,-0.086885,0.782730,-0.084249,-0.062295,0.777388,-0.209856
40,0.400000,-0.083528,0.789019,-0.326663,-0.108195,0.635887,-0.362153,-0.042935,0.780731,-0.286719,-0.145748,0.602786,-0.131785,-0.099798,0.397980,-0.131584,-0.130446,0.506696,-0.169785,0.174988,0.836217,-0.246247,-0.086880,0.782796,-0.084240,-0.062360,0.777472,-0.209787
41,0.410000,-0.083646,0.789005,-0.326671,-0.108399,0.635867,-0.362089,-0.042935,0.780731,-0.286719,-0.145617,0.602785,-0.131793,-0.099999,0.398110,-0.131568,-0.130446,0.506696,-0.169785,0.174810,0.836193,-0.246248,-0.086864,0.782932,-0.084185,-0.062340,0.777513,-0.209738
42,0.420000,-0.083511,0.789015,-0.326683,-0.108413,0.635881,-0.362111,-0.042935,0.780731,-0.286719,-0.145653,0.602747,-0.131793,-0.099927,0.398068,-0.131584,-0.130527,0.506736,-0.169794,0.175269,0.836216,-0.246199,-0.086891,0.782981,-0.084125,-0.062411,0.777562,-0.209727
43,0.430000,-0.083599,0.789039,-0.326673,-0.108182,0.635874,-0.362132,-0.042935,0.780731,-0.286719,-0.145729,0.602782,-0.131804,-0.100041,0.398123,-0.131589,-0.130480,0.506723,-0.169774,0.175308,0.836200,-0.246160,-0.086786,0.782960,-0.084142,-0.062565,0.777636,-0.209716
44,0.440000,-0.083645,0.789005,-0.326645,-0.108182,0.635874,-0.362132,-0.042835,0.780731,-0.286751,-0.145748,0.602786,-0.131785,-0.099994,0.398097,-0.131602,-0.130446,0.506696,-0.169785,0.175218,0.836322,-0.246198,-0.086949,0.783046,-0.084105,-0.062700,0.777742,-0.209692
45,0.450000,-0.083528,0.789019,-0.326663,-0.108182,0.635874,-0.362132,-0.042935,0.780731,-0.286719,-0.145748,0.602786,-0.131785,-0.099937,0.398066,-0.131565,-0.130545,0.506702,-0.169812,0.175367,0.836335,-0.246138,-0.086924,0.783080,-0.084044,-0.062700,0.777756,-0.209667
46,0.460000,-0.083528,0.789019,-0.326663,-0.108195,0.635887,-0.362153,-0.042935,0.780731,-0.286719,-0.145729,0.602782,-0.131804,-0.099927,0.398068,-0.131584,-0.130446,0.506696,-0.169785,0.175367,0.836335,-0.246138,-0.087010,0.783104,-0.084017,-0.062509,0.777786,-0.209667
47,0.470000,-0.083528,0.789019,-0.326663,-0.108073,0.635865,-0.362181,-0.042935,0.780731,-0.286719,-0.145748,0.602786,-0.131785,-0.099958,0.398068,-0.131611,-0.130446,0.506696,-0.169785,0.175189,0.836394,-0.246117,-0.087287,0.783234,-0.083958,-0.062431,0.777844,-0.209631
48,0.480000,-0.083528,0.789019,-0.326663,-0.106694,0.635993,-0.362317,-0.042964,0.780748,-0.286733,-0.145729,0.602782,-0.131804,-0.100044,0.398142,-0.131626,-0.130545,0.506702,-0.169812,0.175189,0.836394,-0.246117,-0.086877,0.783291,-0.083903,-0.062453,0.777871,-0.209581
49,0.490000,-0.083511,0.789015,-0.326683,-0.108182,0.635874,-0.362132,-0.042935,0.780731,-0.286719,-0.145748,0.602786,-0.131785,-0.100044,0.398142,-0.131626,-0.130446,0.506696,-0.169785,0.175354,0.836420,-0.246121,-0.086745,0.783358,-0.083818,-0.062557,0.777953,-0.209502
50,0.500000,-0.083528,0.789019,-0.326663,-0.108399,0.635867,-0.362089,-0.042935,0.780731,-0.286719,-0.145729,0.602782,-0.131804,-0.099927,0.398068,-0.131584,-0.130552,0.506742,-0.169796,0.175554,0.836424,-0.246080,-0.086640,0.783345,-0.083756,-0.062557,0.777953,-0.209502
51,0.510000,-0.083511,0.789015,-0.326683,-0.108195,0.635887,-0.362153,-0.042964,0.780748,-0.286733,-0.145729,0.602782,-0.131804,-0.100064,0.398146,-0.131606,-0.130463,0.506715,-0.169772,0.175714,0.836452,-0.246071,-0.086642,0.783409,-0.083738,-0.062446,0.777983,-0.209447
52,0.520000,-0.083583,0.789034,-0.326694,-0.108195,0.635887,-0.362153,-0.042935,0.780731,-0.286719,-0.145803,0.602804,-0.131803,-0.099994,0.398097,-0.131602,-0.130449,0.506686,-0.169801,0.175420,0.836549,-0.246034,-0.086595,0.783408,-0.083686,-0.062397,0.778041,-0.209415
53,0.530000,-0.083486,0.789003,-0.326683,-0.108182,0.635874,-0.362132,-0.042935,0.780731,-0.286719,-0.145729,0.602782,-0.131804,-0.100002,0.398102,-0.131602,-0.130509,0.506728,-0.169791,0.175315,0.836606,-0.245979,-0.086656,0.783436,-0.083684,-0.062242,0.778105,-0.209388
54,0.540000,-0.083528,0.789019,-0.326663,-0.106666,0.635978,-0.362322,-0.042935,0.780731,-0.286719,-0.145748,0.602786,-0.131785,-0.100020,0.398112,-0.131615,-0.130446,0.506696,-0.169785,0.175734,0.836673,-0.245932,-0.086764,0.783590,-0.083648,-0.062162,0.778075,-0.209357
55,0.550000,-0.083717,0.789025,-0.326656,-0.108413,0.635881,-0.362111,-0.042935,0.780731,-0.286719,-0.145748,0.602786,-0.131785,-0.099989,0.398112,-0.131588,-0.130494,0.506709,-0.169805,0.175522,0.836740,-0.245932,-0.086907,0.783648,-0.083654,-0.062119,0.778127,-0.209288
56,0.560000,-0.083597,0.789041,-0.326692,-0.106680,0.635980,-0.362299,-0.043035,0.780744,-0.286755,-0.145748,0.602786,-0.131785,-0.100112,0.398171,-0.131644,-0.130446,0.506696,-0.169785,0.175324,0.836727,-0.245958,-0.087011,0.783694,-0.083610,-0.062056,0.778154,-0.209260
57,0.570000,-0.083528,0.789019,-0.326663,-0.106680,0.635980,-0.362299,-0.042964,0.780748,-0.286733,-0.145748,0.602786,-0.131785,-0.099927,0.398068,-0.131584,-0.130527,0.506736,-0.169794,0.175720,0.836758,-0.245915,-0.087011,0.783694,-0.083610,-0.062132,0.778177,-0.209272
