Format Version,1.23,Take Name,SH_short_1,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2021-03-23 03.51.58.911 ,Total Frames in Take,1546,Total Exported Frames,1546,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Isomed:Marker1,Isomed:Marker1,Isomed:Marker1,Isomed:Marker2,Isomed:Marker2,Isomed:Marker2,Isomed:Marker3,Isomed:Marker3,Isomed:Marker3,Shank:Marker1,Shank:Marker1,Shank:Marker1,Shank:Marker2,Shank:Marker2,Shank:Marker2,Shank:Marker3,Shank:Marker3,Shank:Marker3,Thigh:Marker1,Thigh:Marker1,Thigh:Marker1,Thigh:Marker2,Thigh:Marker2,Thigh:Marker2,Thigh:Marker3,Thigh:Marker3,Thigh:Marker3
,ID,"10C300","10C300","10C300","10C310","10C310","10C310","10C330","10C330","10C330","10C2C0","10C2C0","10C2C0","10C2E0","10C2E0","10C2E0","10C340","10C340","10C340","10C320","10C320","10C320","10C2B0","10C2B0","10C2B0","10C350","10C350","10C350"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.051121,0.830854,-0.325350,-0.198216,0.790249,-0.364984,-0.043930,0.790748,-0.286636,-0.257861,0.812016,-0.133206,-0.412846,0.672020,-0.140400,-0.333627,0.753199,-0.174327,0.172749,0.851466,-0.237137,-0.093894,0.852014,-0.069808,-0.075047,0.840435,-0.192547
1,0.010000,-0.051041,0.830825,-0.325354,-0.198373,0.790258,-0.364979,-0.043892,0.790727,-0.286625,-0.257907,0.812048,-0.133196,-0.412846,0.672020,-0.140400,-0.333636,0.753197,-0.174329,0.172749,0.851466,-0.237137,-0.093890,0.852019,-0.069826,-0.074942,0.840409,-0.192583
2,0.020000,-0.050928,0.830833,-0.325381,-0.198373,0.790258,-0.364979,-0.043848,0.790759,-0.286613,-0.257952,0.812063,-0.133235,-0.412846,0.672020,-0.140400,-0.333728,0.753198,-0.174300,0.172578,0.851463,-0.237177,-0.093825,0.852045,-0.069851,-0.074942,0.840409,-0.192583
3,0.030000,-0.051041,0.830825,-0.325354,-0.198213,0.790274,-0.365015,-0.043892,0.790727,-0.286625,-0.257930,0.812049,-0.133223,-0.412846,0.672020,-0.140400,-0.333649,0.753191,-0.174336,0.172749,0.851466,-0.237137,-0.093969,0.852015,-0.069825,-0.075073,0.840418,-0.192567
4,0.040000,-0.051230,0.830847,-0.325322,-0.198373,0.790258,-0.364979,-0.043930,0.790748,-0.286636,-0.257868,0.812064,-0.133235,-0.412846,0.672020,-0.140400,-0.333563,0.753205,-0.174336,0.172578,0.851463,-0.237177,-0.093974,0.852036,-0.069830,-0.075001,0.840414,-0.192555
5,0.050000,-0.051041,0.830825,-0.325354,-0.198286,0.790276,-0.364981,-0.043810,0.790738,-0.286603,-0.257845,0.812062,-0.133209,-0.412846,0.672020,-0.140400,-0.333651,0.753207,-0.174351,0.172749,0.851466,-0.237137,-0.093962,0.852014,-0.069834,-0.075001,0.840414,-0.192555
6,0.060000,-0.051121,0.830854,-0.325350,-0.198314,0.790293,-0.364991,-0.043892,0.790727,-0.286625,-0.257939,0.812053,-0.133221,-0.412846,0.672020,-0.140400,-0.333623,0.753240,-0.174343,0.172578,0.851463,-0.237177,-0.093960,0.852041,-0.069862,-0.075047,0.840435,-0.192547
7,0.070000,-0.051149,0.830818,-0.325325,-0.198373,0.790258,-0.364979,-0.043810,0.790738,-0.286603,-0.257855,0.812054,-0.133223,-0.412846,0.672020,-0.140400,-0.333788,0.753261,-0.174364,0.172749,0.851466,-0.237137,-0.093837,0.852038,-0.069809,-0.074916,0.840374,-0.192615
8,0.080000,-0.051041,0.830825,-0.325354,-0.198286,0.790276,-0.364981,-0.043771,0.790735,-0.286646,-0.257949,0.812084,-0.133196,-0.412915,0.672069,-0.140381,-0.333692,0.753229,-0.174329,0.172578,0.851463,-0.237177,-0.093989,0.852010,-0.069790,-0.074949,0.840395,-0.192567
9,0.090000,-0.051230,0.830847,-0.325322,-0.198280,0.790285,-0.364967,-0.043892,0.790727,-0.286625,-0.257912,0.812096,-0.133214,-0.412909,0.672058,-0.140396,-0.333623,0.753240,-0.174343,0.172749,0.851466,-0.237137,-0.093894,0.852014,-0.069808,-0.075047,0.840435,-0.192547
10,0.100000,-0.051230,0.830847,-0.325322,-0.198373,0.790258,-0.364979,-0.043892,0.790727,-0.286625,-0.257930,0.812049,-0.133223,-0.412909,0.672058,-0.140396,-0.333726,0.753262,-0.174324,0.172749,0.851466,-0.237137,-0.093969,0.852015,-0.069825,-0.075001,0.840414,-0.192555
11,0.110000,-0.051041,0.830825,-0.325354,-0.198286,0.790276,-0.364981,-0.043689,0.790747,-0.286624,-0.257863,0.812093,-0.133227,-0.412909,0.672058,-0.140396,-0.333632,0.753244,-0.174340,0.172749,0.851466,-0.237137,-0.093903,0.852031,-0.069843,-0.075073,0.840418,-0.192567
12,0.120000,-0.051041,0.830825,-0.325354,-0.198286,0.790276,-0.364981,-0.043892,0.790727,-0.286625,-0.257912,0.812083,-0.133228,-0.412909,0.672058,-0.140396,-0.333760,0.753267,-0.174325,0.172625,0.851493,-0.237146,-0.093907,0.852060,-0.069843,-0.074942,0.840409,-0.192583
13,0.130000,-0.051041,0.830825,-0.325354,-0.198262,0.790304,-0.365036,-0.043892,0.790727,-0.286625,-0.257944,0.812101,-0.133249,-0.412909,0.672058,-0.140396,-0.333539,0.753252,-0.174352,0.172749,0.851466,-0.237137,-0.094011,0.852026,-0.069809,-0.074988,0.840431,-0.192575
14,0.140000,-0.051121,0.830854,-0.325350,-0.198335,0.790306,-0.365003,-0.043810,0.790738,-0.286603,-0.257889,0.812078,-0.133247,-0.412854,0.672061,-0.140369,-0.333685,0.753327,-0.174367,0.172749,0.851466,-0.237137,-0.093842,0.852052,-0.069850,-0.075047,0.840435,-0.192547
15,0.150000,-0.051041,0.830825,-0.325354,-0.198314,0.790293,-0.364991,-0.043810,0.790738,-0.286603,-0.257944,0.812101,-0.133249,-0.412915,0.672069,-0.140381,-0.333588,0.753293,-0.174376,0.172749,0.851466,-0.237137,-0.093883,0.852063,-0.069834,-0.075047,0.840435,-0.192547
16,0.160000,-0.051041,0.830825,-0.325354,-0.198260,0.790318,-0.365012,-0.043809,0.790756,-0.286657,-0.257944,0.812101,-0.133249,-0.412915,0.672069,-0.140381,-0.333689,0.753276,-0.174341,0.172578,0.851463,-0.237177,-0.093916,0.852067,-0.069801,-0.075047,0.840435,-0.192547
17,0.170000,-0.051121,0.830854,-0.325350,-0.198286,0.790276,-0.364981,-0.043892,0.790727,-0.286625,-0.257990,0.812121,-0.133242,-0.412909,0.672058,-0.140396,-0.333628,0.753304,-0.174359,0.172749,0.851466,-0.237137,-0.093842,0.852052,-0.069850,-0.075047,0.840435,-0.192547
18,0.180000,-0.051041,0.830825,-0.325354,-0.198335,0.790306,-0.365003,-0.043892,0.790727,-0.286625,-0.257964,0.812136,-0.133222,-0.412782,0.672087,-0.140351,-0.333620,0.753316,-0.174381,0.172749,0.851466,-0.237137,-0.093824,0.852058,-0.069834,-0.075047,0.840435,-0.192547
