Format Version,1.23,Take Name,SH_long_2,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2021-03-23 04.13.41.934 ,Total Frames in Take,1701,Total Exported Frames,1701,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Isomed:Marker1,Isomed:Marker1,Isomed:Marker1,Isomed:Marker2,Isomed:Marker2,Isomed:Marker2,Isomed:Marker3,Isomed:Marker3,Isomed:Marker3,Shank:Marker1,Shank:Marker1,Shank:Marker1,Shank:Marker2,Shank:Marker2,Shank:Marker2,Shank:Marker3,Shank:Marker3,Shank:Marker3,Thigh:Marker1,Thigh:Marker1,Thigh:Marker1,Thigh:Marker2,Thigh:Marker2,Thigh:Marker2,Thigh:Marker3,Thigh:Marker3,Thigh:Marker3
,ID,"10E200","10E200","10E200","10E260","10E260","10E260","10DFA0","10DFA0","10DFA0","10DAE0","10DAE0","10DAE0","10E100","10E100","10E100","10E1F0","10E1F0","10E1F0","10DF80","10DF80","10DF80","10E000","10E000","10E000","10E240","10E240","10E240"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.071880,0.805460,-0.326156,-0.171948,0.688248,-0.364636,-0.042951,0.776868,-0.286787,-0.228640,0.677955,-0.133428,-0.290734,0.478556,-0.137211,-0.263558,0.588259,-0.173158,0.171895,0.843469,-0.240295,-0.099707,0.795678,-0.080246,-0.075898,0.786044,-0.203663
1,0.010000,-0.071866,0.805458,-0.326202,-0.171899,0.688255,-0.364651,-0.043034,0.776891,-0.286798,-0.228739,0.677985,-0.133441,-0.290774,0.478588,-0.137216,-0.263514,0.588254,-0.173129,0.172085,0.843407,-0.240313,-0.099715,0.795646,-0.080283,-0.075865,0.786020,-0.203643
2,0.020000,-0.072021,0.805467,-0.326173,-0.172041,0.688282,-0.364584,-0.043077,0.776907,-0.286778,-0.228640,0.677955,-0.133428,-0.290877,0.478595,-0.137234,-0.263532,0.588255,-0.173143,0.172170,0.843392,-0.240357,-0.099707,0.795678,-0.080246,-0.075991,0.786008,-0.203670
3,0.030000,-0.071929,0.805465,-0.326172,-0.171902,0.688259,-0.364670,-0.042993,0.776884,-0.286767,-0.228741,0.677999,-0.133459,-0.290778,0.478588,-0.137211,-0.263596,0.588285,-0.173151,0.172085,0.843407,-0.240313,-0.099629,0.795655,-0.080226,-0.075988,0.786002,-0.203694
4,0.040000,-0.071900,0.805444,-0.326177,-0.172041,0.688282,-0.364584,-0.043135,0.776894,-0.286753,-0.228755,0.678033,-0.133500,-0.290815,0.478619,-0.137220,-0.263597,0.588270,-0.173173,0.171895,0.843469,-0.240295,-0.099707,0.795678,-0.080246,-0.075794,0.786044,-0.203664
5,0.050000,-0.071862,0.805468,-0.326186,-0.171948,0.688248,-0.364636,-0.042928,0.776853,-0.286770,-0.228755,0.677956,-0.133414,-0.290918,0.478626,-0.137237,-0.263609,0.588276,-0.173156,0.172085,0.843407,-0.240313,-0.099778,0.795719,-0.080279,-0.075701,0.786045,-0.203663
6,0.060000,-0.071880,0.805460,-0.326156,-0.171916,0.688217,-0.364617,-0.043117,0.776916,-0.286807,-0.228814,0.678025,-0.133436,-0.290774,0.478588,-0.137216,-0.263478,0.588233,-0.173130,0.172085,0.843407,-0.240313,-0.099605,0.795665,-0.080288,-0.076009,0.786028,-0.203663
7,0.070000,-0.071862,0.805468,-0.326186,-0.171994,0.688293,-0.364618,-0.042993,0.776884,-0.286767,-0.228839,0.678044,-0.133448,-0.290818,0.478618,-0.137215,-0.263578,0.588285,-0.173136,0.172085,0.843407,-0.240313,-0.099684,0.795698,-0.080281,-0.076001,0.786015,-0.203679
