Format Version,1.23,Take Name,Fifty_030_1,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2021-03-23 02.58.16.499 ,Total Frames in Take,1414,Total Exported Frames,1414,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Isomed:Marker1,Isomed:Marker1,Isomed:Marker1,Isomed:Marker2,Isomed:Marker2,Isomed:Marker2,Isomed:Marker3,Isomed:Marker3,Isomed:Marker3,Shank:Marker1,Shank:Marker1,Shank:Marker1,Shank:Marker2,Shank:Marker2,Shank:Marker2,Shank:Marker3,Shank:Marker3,Shank:Marker3,Thigh:Marker1,Thigh:Marker1,Thigh:Marker1,Thigh:Marker2,Thigh:Marker2,Thigh:Marker2,Thigh:Marker3,Thigh:Marker3,Thigh:Marker3
,ID,"FB4D0","FB4D0","FB4D0","FB530","FB530","FB530","FB120","FB120","FB120","FB3A0","FB3A0","FB3A0","FB020","FB020","FB020","FB080","FB080","FB080","FB430","FB430","FB430","FACB0","FACB0","FACB0","FB580","FB580","FB580"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.080690,0.838962,-0.298822,-0.230255,0.804131,-0.338762,-0.078427,0.799845,-0.260145,-0.281111,0.821538,-0.107114,-0.454213,0.704083,-0.115079,-0.364622,0.773728,-0.148577,0.165304,0.863267,-0.224585,-0.097718,0.837574,-0.046749,-0.087160,0.831861,-0.169897
1,0.010000,-0.080636,0.838931,-0.298796,-0.230229,0.804124,-0.338749,-0.078336,0.799806,-0.260176,-0.281043,0.821549,-0.107132,-0.454213,0.704083,-0.115079,-0.364637,0.773741,-0.148568,0.165259,0.863239,-0.224621,-0.097773,0.837592,-0.046783,-0.087076,0.831829,-0.169872
2,0.020000,-0.080746,0.838980,-0.298792,-0.230229,0.804124,-0.338749,-0.078400,0.799830,-0.260178,-0.281119,0.821543,-0.107111,-0.454213,0.704083,-0.115079,-0.364592,0.773735,-0.148591,0.165259,0.863239,-0.224621,-0.097722,0.837595,-0.046751,-0.087160,0.831861,-0.169897
3,0.030000,-0.080641,0.838950,-0.298820,-0.230122,0.804122,-0.338779,-0.078287,0.799849,-0.260116,-0.281020,0.821530,-0.107104,-0.454213,0.704083,-0.115079,-0.364592,0.773735,-0.148591,0.165259,0.863239,-0.224621,-0.097754,0.837594,-0.046764,-0.087142,0.831883,-0.169926
4,0.040000,-0.080520,0.838954,-0.298835,-0.230229,0.804124,-0.338749,-0.078400,0.799830,-0.260178,-0.281017,0.821551,-0.107119,-0.454152,0.704047,-0.115080,-0.364592,0.773735,-0.148591,0.165259,0.863239,-0.224621,-0.097741,0.837596,-0.046783,-0.087160,0.831861,-0.169897
5,0.050000,-0.080685,0.838954,-0.298802,-0.230209,0.804120,-0.338752,-0.078169,0.799795,-0.260179,-0.281016,0.821497,-0.107123,-0.454152,0.704047,-0.115080,-0.364656,0.773727,-0.148586,0.165259,0.863239,-0.224621,-0.097754,0.837594,-0.046764,-0.087160,0.831861,-0.169897
6,0.060000,-0.080658,0.838920,-0.298837,-0.230295,0.804146,-0.338753,-0.078196,0.799809,-0.260147,-0.281044,0.821583,-0.107122,-0.454116,0.704071,-0.115090,-0.364586,0.773731,-0.148613,0.165259,0.863239,-0.224621,-0.097773,0.837592,-0.046783,-0.087160,0.831861,-0.169897
7,0.070000,-0.080770,0.838969,-0.298833,-0.230241,0.804173,-0.338770,-0.078196,0.799809,-0.260147,-0.281040,0.821550,-0.107141,-0.454211,0.704076,-0.115094,-0.364637,0.773741,-0.148568,0.165259,0.863239,-0.224621,-0.097782,0.837580,-0.046859,-0.087076,0.831829,-0.169872
8,0.080000,-0.080697,0.838956,-0.298787,-0.230209,0.804120,-0.338752,-0.078196,0.799809,-0.260147,-0.281066,0.821550,-0.107098,-0.454116,0.704071,-0.115090,-0.364592,0.773735,-0.148591,0.165259,0.863239,-0.224621,-0.097667,0.837608,-0.046759,-0.087076,0.831829,-0.169872
9,0.090000,-0.080746,0.838980,-0.298792,-0.230209,0.804120,-0.338752,-0.078287,0.799849,-0.260116,-0.281047,0.821516,-0.107114,-0.454213,0.704083,-0.115079,-0.364637,0.773741,-0.148568,0.165259,0.863239,-0.224621,-0.097773,0.837592,-0.046783,-0.087160,0.831861,-0.169897
10,0.100000,-0.080658,0.838920,-0.298837,-0.230273,0.804147,-0.338749,-0.078336,0.799806,-0.260176,-0.281110,0.821580,-0.107095,-0.454141,0.704060,-0.115069,-0.364610,0.773721,-0.148610,0.165259,0.863239,-0.224621,-0.097845,0.837571,-0.046803,-0.087076,0.831829,-0.169872
