Format Version,1.23,Take Name,SH_short_3,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2021-03-23 04.05.34.991 ,Total Frames in Take,1641,Total Exported Frames,1641,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Isomed:Marker1,Isomed:Marker1,Isomed:Marker1,Isomed:Marker2,Isomed:Marker2,Isomed:Marker2,Isomed:Marker3,Isomed:Marker3,Isomed:Marker3,Shank:Marker1,Shank:Marker1,Shank:Marker1,Shank:Marker2,Shank:Marker2,Shank:Marker2,Shank:Marker3,Shank:Marker3,Shank:Marker3,Thigh:Marker1,Thigh:Marker1,Thigh:Marker1,Thigh:Marker2,Thigh:Marker2,Thigh:Marker2,Thigh:Marker3,Thigh:Marker3,Thigh:Marker3
,ID,"10C300","10C300","10C300","10C310","10C310","10C310","10C330","10C330","10C330","10C2C0","10C2C0","10C2C0","10C360","10C360","10C360","10C340","10C340","10C340","10C320","10C320","10C320","10C2B0","10C2B0","10C2B0","10C350","10C350","10C350"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.050753,0.830682,-0.325369,-0.198344,0.789870,-0.364995,-0.043585,0.790588,-0.286669,-0.253794,0.808862,-0.133157,-0.415685,0.676240,-0.140439,-0.332138,0.753481,-0.174432,0.172826,0.849178,-0.237533,-0.095588,0.840263,-0.069463,-0.076715,0.828494,-0.191906
1,0.010000,-0.050753,0.830682,-0.325369,-0.198444,0.789853,-0.364979,-0.043575,0.790575,-0.286682,-0.253729,0.808870,-0.133159,-0.415585,0.676197,-0.140418,-0.332138,0.753481,-0.174432,0.172909,0.849207,-0.237560,-0.095526,0.840237,-0.069464,-0.076525,0.828522,-0.191953
2,0.020000,-0.050843,0.830708,-0.325374,-0.198454,0.789880,-0.364923,-0.043475,0.790579,-0.286658,-0.253802,0.808866,-0.133157,-0.415575,0.676187,-0.140424,-0.332138,0.753481,-0.174432,0.172701,0.849221,-0.237567,-0.095539,0.840279,-0.069460,-0.076570,0.828537,-0.191938
3,0.030000,-0.050681,0.830699,-0.325365,-0.198444,0.789853,-0.364979,-0.043512,0.790546,-0.286690,-0.253802,0.808866,-0.133157,-0.415631,0.676179,-0.140412,-0.332212,0.753480,-0.174412,0.172738,0.849198,-0.237610,-0.095592,0.840278,-0.069500,-0.076619,0.828555,-0.191923
4,0.040000,-0.050843,0.830708,-0.325374,-0.198444,0.789853,-0.364979,-0.043477,0.790534,-0.286688,-0.253819,0.808912,-0.133184,-0.415615,0.676171,-0.140411,-0.332138,0.753481,-0.174432,0.172569,0.849191,-0.237706,-0.095857,0.840411,-0.069505,-0.076496,0.828566,-0.191902
5,0.050000,-0.050681,0.830699,-0.325365,-0.198444,0.789853,-0.364979,-0.043478,0.790547,-0.286671,-0.253835,0.808955,-0.133245,-0.415647,0.676160,-0.140414,-0.332138,0.753481,-0.174432,0.172490,0.849162,-0.237680,-0.095581,0.840481,-0.069539,-0.076396,0.828580,-0.191951
6,0.060000,-0.050753,0.830682,-0.325369,-0.198248,0.789888,-0.365002,-0.043494,0.790584,-0.286662,-0.253754,0.808975,-0.133232,-0.415577,0.676131,-0.140412,-0.332212,0.753480,-0.174412,0.172770,0.849124,-0.237660,-0.095456,0.840583,-0.069549,-0.076279,0.828616,-0.191926
7,0.070000,-0.050681,0.830699,-0.325365,-0.198278,0.789888,-0.364984,-0.043503,0.790600,-0.286644,-0.253855,0.808959,-0.133229,-0.415536,0.676103,-0.140408,-0.332138,0.753481,-0.174432,0.172490,0.849162,-0.237680,-0.095416,0.840628,-0.069586,-0.076315,0.828672,-0.191916
8,0.080000,-0.050843,0.830708,-0.325374,-0.198444,0.789853,-0.364979,-0.043556,0.790558,-0.286696,-0.253890,0.808990,-0.133232,-0.415507,0.676082,-0.140405,-0.332138,0.753481,-0.174432,0.172700,0.849093,-0.237690,-0.095425,0.840693,-0.069601,-0.076260,0.828668,-0.191942
9,0.090000,-0.050753,0.830682,-0.325369,-0.198344,0.789870,-0.364995,-0.043493,0.790571,-0.286680,-0.253821,0.809028,-0.133255,-0.415480,0.676070,-0.140415,-0.332138,0.753481,-0.174432,0.172700,0.849093,-0.237690,-0.095593,0.840752,-0.069599,-0.076367,0.828700,-0.191944
10,0.100000,-0.050843,0.830708,-0.325374,-0.198344,0.789870,-0.364995,-0.043478,0.790547,-0.286671,-0.253975,0.809021,-0.133223,-0.415456,0.676046,-0.140427,-0.332212,0.753480,-0.174412,0.172700,0.849093,-0.237690,-0.095675,0.840828,-0.069586,-0.076382,0.828761,-0.191959
11,0.110000,-0.050753,0.830682,-0.325369,-0.198276,0.789869,-0.365020,-0.043575,0.790575,-0.286682,-0.253854,0.809035,-0.133271,-0.415401,0.675991,-0.140399,-0.332138,0.753481,-0.174432,0.172823,0.849226,-0.237638,-0.095675,0.840828,-0.069586,-0.076348,0.828791,-0.191987
12,0.120000,-0.050700,0.830660,-0.325389,-0.198344,0.789870,-0.364995,-0.043537,0.790608,-0.286650,-0.253939,0.809028,-0.133224,-0.415446,0.675997,-0.140368,-0.332212,0.753480,-0.174412,0.172823,0.849226,-0.237638,-0.095587,0.840848,-0.069600,-0.076382,0.828804,-0.191966
13,0.130000,-0.050753,0.830682,-0.325369,-0.198347,0.789870,-0.364986,-0.043406,0.790572,-0.286633,-0.253898,0.809049,-0.133248,-0.415430,0.675991,-0.140389,-0.332138,0.753481,-0.174432,0.172701,0.849221,-0.237567,-0.095727,0.840846,-0.069576,-0.076508,0.828830,-0.191950
14,0.140000,-0.050753,0.830682,-0.325369,-0.198484,0.789880,-0.364971,-0.043522,0.790559,-0.286676,-0.253777,0.809062,-0.133267,-0.415421,0.675993,-0.140377,-0.332212,0.753480,-0.174412,0.172785,0.849250,-0.237595,-0.095640,0.840866,-0.069589,-0.076493,0.828898,-0.191909
15,0.150000,-0.050861,0.830675,-0.325340,-0.198248,0.789888,-0.365002,-0.043503,0.790609,-0.286630,-0.253797,0.809066,-0.133251,-0.415421,0.675993,-0.140377,-0.332212,0.753480,-0.174412,0.172785,0.849250,-0.237595,-0.095640,0.840866,-0.069589,-0.076452,0.828902,-0.191867
