Format Version,1.23,Take Name,SH_superlong_1,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2021-03-23 03.34.54.276 ,Total Frames in Take,1495,Total Exported Frames,1495,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Isomed:Marker1,Isomed:Marker1,Isomed:Marker1,Isomed:Marker2,Isomed:Marker2,Isomed:Marker2,Isomed:Marker3,Isomed:Marker3,Isomed:Marker3,Shank:Marker1,Shank:Marker1,Shank:Marker1,Shank:Marker2,Shank:Marker2,Shank:Marker2,Shank:Marker3,Shank:Marker3,Shank:Marker3,Thigh:Marker1,Thigh:Marker1,Thigh:Marker1,Thigh:Marker2,Thigh:Marker2,Thigh:Marker2,Thigh:Marker3,Thigh:Marker3,Thigh:Marker3
,ID,"107B80","107B80","107B80","107B70","107B70","107B70","107920","107920","107920","107AC0","107AC0","107AC0","107B50","107B50","107B50","107B20","107B20","107B20","107B90","107B90","107B90","106F40","106F40","106F40","107AD0","107AD0","107AD0"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.080518,0.799208,-0.326461,-0.140956,0.657533,-0.363732,-0.042953,0.780709,-0.286840,-0.188677,0.633068,-0.132789,-0.194881,0.423951,-0.134696,-0.197771,0.536849,-0.171605,0.174785,0.841270,-0.242643,-0.093303,0.792546,-0.081407,-0.068844,0.786201,-0.205936
1,0.010000,-0.080441,0.799228,-0.326524,-0.141088,0.657532,-0.363701,-0.042982,0.780726,-0.286854,-0.188651,0.633064,-0.132772,-0.194976,0.424022,-0.134710,-0.197749,0.536842,-0.171574,0.174693,0.841302,-0.242676,-0.093162,0.792496,-0.081403,-0.068834,0.786187,-0.205926
2,0.020000,-0.080372,0.799234,-0.326504,-0.141169,0.657533,-0.363698,-0.043021,0.780728,-0.286873,-0.188651,0.633064,-0.132772,-0.194735,0.423910,-0.134738,-0.197818,0.536873,-0.171588,0.174686,0.841241,-0.242622,-0.093220,0.792540,-0.081415,-0.068802,0.786178,-0.205946
3,0.030000,-0.080427,0.799209,-0.326493,-0.141158,0.657532,-0.363719,-0.042953,0.780709,-0.286840,-0.188651,0.633064,-0.132772,-0.195008,0.424020,-0.134699,-0.197749,0.536842,-0.171574,0.174693,0.841302,-0.242676,-0.093220,0.792540,-0.081415,-0.068802,0.786178,-0.205946
4,0.040000,-0.080546,0.799222,-0.326494,-0.141088,0.657532,-0.363701,-0.042991,0.780710,-0.286859,-0.188677,0.633068,-0.132789,-0.194958,0.423991,-0.134709,-0.197818,0.536873,-0.171588,0.174785,0.841270,-0.242643,-0.093185,0.792498,-0.081378,-0.068885,0.786160,-0.205929
5,0.050000,-0.080523,0.799260,-0.326488,-0.141088,0.657532,-0.363701,-0.042953,0.780709,-0.286840,-0.188677,0.633068,-0.132789,-0.194877,0.423958,-0.134684,-0.197839,0.536880,-0.171619,0.174545,0.841274,-0.242686,-0.093216,0.792497,-0.081420,-0.068802,0.786178,-0.205946
