Format Version,1.23,Take Name,SH_superlong_3,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2021-03-23 03.44.29.229 ,Total Frames in Take,1443,Total Exported Frames,1443,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Isomed:Marker1,Isomed:Marker1,Isomed:Marker1,Isomed:Marker2,Isomed:Marker2,Isomed:Marker2,Isomed:Marker3,Isomed:Marker3,Isomed:Marker3,Shank:Marker1,Shank:Marker1,Shank:Marker1,Shank:Marker2,Shank:Marker2,Shank:Marker2,Shank:Marker3,Shank:Marker3,Shank:Marker3,Thigh:Marker1,Thigh:Marker1,Thigh:Marker1,Thigh:Marker2,Thigh:Marker2,Thigh:Marker2,Thigh:Marker3,Thigh:Marker3,Thigh:Marker3
,ID,"107CE0","107CE0","107CE0","107D00","107D00","107D00","107D10","107D10","107D10","107D50","107D50","107D50","107D40","107D40","107D40","107D30","107D30","107D30","107CF0","107CF0","107CF0","107D60","107D60","107D60","107D20","107D20","107D20"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.080341,0.799177,-0.326455,-0.141088,0.657532,-0.363701,-0.043092,0.780710,-0.286826,-0.190780,0.633158,-0.132943,-0.193030,0.423916,-0.134495,-0.198331,0.536821,-0.171622,0.174819,0.843439,-0.240252,-0.097396,0.794778,-0.081452,-0.070814,0.788311,-0.205893
1,0.010000,-0.080318,0.799212,-0.326485,-0.141160,0.657532,-0.363719,-0.043006,0.780693,-0.286854,-0.190799,0.633160,-0.132912,-0.192977,0.423878,-0.134483,-0.198269,0.536788,-0.171588,0.174847,0.843431,-0.240288,-0.097396,0.794778,-0.081452,-0.070736,0.788283,-0.205886
2,0.020000,-0.080341,0.799177,-0.326455,-0.141088,0.657532,-0.363701,-0.043014,0.780690,-0.286813,-0.190780,0.633158,-0.132943,-0.192798,0.423834,-0.134468,-0.198211,0.536819,-0.171563,0.174847,0.843431,-0.240288,-0.097396,0.794778,-0.081452,-0.070707,0.788315,-0.205915
3,0.030000,-0.080605,0.799247,-0.326480,-0.141160,0.657532,-0.363719,-0.043025,0.780672,-0.286809,-0.190804,0.633167,-0.132927,-0.192867,0.423878,-0.134471,-0.198162,0.536794,-0.171580,0.174847,0.843431,-0.240288,-0.097397,0.794769,-0.081469,-0.070628,0.788288,-0.205908
4,0.040000,-0.080398,0.799199,-0.326477,-0.141088,0.657532,-0.363701,-0.042874,0.780689,-0.286827,-0.190756,0.633161,-0.132941,-0.192867,0.423878,-0.134471,-0.198339,0.536819,-0.171601,0.174847,0.843431,-0.240288,-0.097396,0.794778,-0.081452,-0.070628,0.788288,-0.205908
5,0.050000,-0.080546,0.799222,-0.326494,-0.141160,0.657532,-0.363719,-0.042975,0.780689,-0.286795,-0.190551,0.633172,-0.132938,-0.192831,0.423862,-0.134478,-0.198162,0.536794,-0.171580,0.174847,0.843431,-0.240288,-0.097397,0.794769,-0.081469,-0.070736,0.788283,-0.205886
6,0.060000,-0.080359,0.799199,-0.326523,-0.141160,0.657532,-0.363719,-0.042874,0.780689,-0.286827,-0.190780,0.633158,-0.132943,-0.192798,0.423834,-0.134468,-0.198134,0.536782,-0.171596,0.174847,0.843431,-0.240288,-0.097397,0.794769,-0.081469,-0.070628,0.788288,-0.205908
7,0.070000,-0.080315,0.799170,-0.326477,-0.141078,0.657498,-0.363718,-0.043053,0.780709,-0.286808,-0.190658,0.633157,-0.132930,-0.192901,0.423906,-0.134481,-0.198097,0.536752,-0.171579,0.174847,0.843431,-0.240288,-0.097397,0.794769,-0.081469,-0.070628,0.788288,-0.205908
8,0.080000,-0.080210,0.799176,-0.326506,-0.141006,0.657499,-0.363700,-0.042975,0.780689,-0.286795,-0.190799,0.633160,-0.132912,-0.192798,0.423834,-0.134468,-0.198317,0.536801,-0.171589,0.174847,0.843431,-0.240288,-0.097397,0.794769,-0.081469,-0.070749,0.788278,-0.205892
9,0.090000,-0.080420,0.799207,-0.326453,-0.141231,0.657531,-0.363736,-0.043142,0.780693,-0.286841,-0.190736,0.633140,-0.132911,-0.192798,0.423834,-0.134468,-0.198339,0.536819,-0.171601,0.174847,0.843431,-0.240288,-0.097397,0.794769,-0.081469,-0.070628,0.788288,-0.205908
