Format Version,1.23,Take Name,Fifty_030_2,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2021-03-23 03.00.40.836 ,Total Frames in Take,1592,Total Exported Frames,1592,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Isomed:Marker1,Isomed:Marker1,Isomed:Marker1,Isomed:Marker2,Isomed:Marker2,Isomed:Marker2,Isomed:Marker3,Isomed:Marker3,Isomed:Marker3,Shank:Marker1,Shank:Marker1,Shank:Marker1,Shank:Marker2,Shank:Marker2,Shank:Marker2,Shank:Marker3,Shank:Marker3,Shank:Marker3,Thigh:Marker1,Thigh:Marker1,Thigh:Marker1,Thigh:Marker2,Thigh:Marker2,Thigh:Marker2,Thigh:Marker3,Thigh:Marker3,Thigh:Marker3
,ID,"FB4D0","FB4D0","FB4D0","FB530","FB530","FB530","FB120","FB120","FB120","FB3A0","FB3A0","FB3A0","FB020","FB020","FB020","FB080","FB080","FB080","FB690","FB690","FB690","FACB0","FACB0","FACB0","FB580","FB580","FB580"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
15,0.150000,-0.080628,0.838962,-0.298763,-0.230174,0.804164,-0.338755,-0.078334,0.799867,-0.260127,-0.281055,0.821985,-0.107103,-0.455446,0.704595,-0.115119,-0.364658,0.773721,-0.148536,0.163954,0.866123,-0.221663,-0.097554,0.836579,-0.041492,-0.087305,0.834090,-0.164745
16,0.160000,-0.080568,0.838937,-0.298773,-0.230273,0.804147,-0.338749,-0.078308,0.799852,-0.260159,-0.281118,0.821972,-0.107074,-0.455266,0.704452,-0.115080,-0.364693,0.773737,-0.148529,0.163954,0.866123,-0.221663,-0.097316,0.836574,-0.041441,-0.087366,0.834111,-0.164732
17,0.170000,-0.080517,0.838947,-0.298816,-0.230174,0.804164,-0.338755,-0.078450,0.799907,-0.260177,-0.281171,0.821995,-0.107076,-0.455266,0.704452,-0.115080,-0.364693,0.773737,-0.148529,0.163954,0.866123,-0.221663,-0.097364,0.836571,-0.041476,-0.087208,0.834085,-0.164773
18,0.180000,-0.080619,0.838954,-0.298746,-0.230197,0.804167,-0.338753,-0.078479,0.799919,-0.260182,-0.281211,0.822005,-0.107068,-0.455266,0.704452,-0.115080,-0.364708,0.773740,-0.148547,0.164350,0.865995,-0.221656,-0.097364,0.836571,-0.041476,-0.087288,0.834109,-0.164715
19,0.190000,-0.080636,0.838931,-0.298796,-0.230174,0.804164,-0.338755,-0.078334,0.799867,-0.260127,-0.281016,0.821975,-0.107050,-0.455072,0.704307,-0.115092,-0.364742,0.773756,-0.148539,0.163954,0.866123,-0.221663,-0.097392,0.836603,-0.041447,-0.087339,0.834129,-0.164728
20,0.200000,-0.080572,0.838944,-0.298792,-0.230220,0.804174,-0.338766,-0.078337,0.799864,-0.260164,-0.281016,0.821988,-0.107053,-0.455446,0.704595,-0.115119,-0.364708,0.773740,-0.148547,0.163954,0.866123,-0.221663,-0.097439,0.836600,-0.041482,-0.087195,0.834105,-0.164743
21,0.210000,-0.080697,0.838956,-0.298787,-0.230174,0.804164,-0.338755,-0.078450,0.799907,-0.260177,-0.281105,0.821968,-0.107049,-0.455446,0.704595,-0.115119,-0.364708,0.773740,-0.148547,0.163954,0.866123,-0.221663,-0.097439,0.836600,-0.041482,-0.087280,0.834108,-0.164740
22,0.220000,-0.080636,0.838931,-0.298796,-0.230240,0.804186,-0.338759,-0.078477,0.799922,-0.260145,-0.281121,0.821980,-0.107061,-0.455266,0.704452,-0.115080,-0.364742,0.773756,-0.148539,0.163954,0.866123,-0.221663,-0.097439,0.836600,-0.041482,-0.087166,0.834095,-0.164766
23,0.230000,-0.080568,0.838937,-0.298773,-0.230174,0.804164,-0.338755,-0.078334,0.799867,-0.260127,-0.281090,0.822019,-0.107056,-0.455252,0.704450,-0.115132,-0.364742,0.773756,-0.148539,0.164350,0.865995,-0.221656,-0.097439,0.836600,-0.041482,-0.087172,0.834074,-0.164821
24,0.240000,-0.080517,0.838947,-0.298816,-0.230174,0.804164,-0.338755,-0.078565,0.799961,-0.260112,-0.281223,0.822008,-0.107093,-0.455266,0.704452,-0.115080,-0.364708,0.773740,-0.148547,0.164152,0.866059,-0.221673,-0.097439,0.836600,-0.041482,-0.087150,0.834070,-0.164833
25,0.250000,-0.080697,0.838956,-0.298787,-0.230174,0.804164,-0.338755,-0.078479,0.799919,-0.260182,-0.281131,0.821974,-0.107071,-0.455252,0.704450,-0.115132,-0.364693,0.773737,-0.148529,0.164152,0.866059,-0.221673,-0.097439,0.836600,-0.041482,-0.087201,0.834083,-0.164799
26,0.260000,-0.080687,0.838947,-0.298769,-0.230110,0.804138,-0.338757,-0.078337,0.799864,-0.260164,-0.280984,0.821964,-0.107076,-0.454887,0.704244,-0.115000,-0.364742,0.773756,-0.148539,0.164152,0.866059,-0.221673,-0.097313,0.836618,-0.041485,-0.086954,0.834009,-0.164846
