Format Version,1.23,Take Name,MVC_070_1,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2021-03-23 02.44.48.451 ,Total Frames in Take,1300,Total Exported Frames,1300,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Isomed:Marker1,Isomed:Marker1,Isomed:Marker1,Isomed:Marker2,Isomed:Marker2,Isomed:Marker2,Isomed:Marker3,Isomed:Marker3,Isomed:Marker3,Shank:Marker1,Shank:Marker1,Shank:Marker1,Shank:Marker2,Shank:Marker2,Shank:Marker2,Shank:Marker3,Shank:Marker3,Shank:Marker3,Thigh:Marker1,Thigh:Marker1,Thigh:Marker1,Thigh:Marker2,Thigh:Marker2,Thigh:Marker2,Thigh:Marker3,Thigh:Marker3,Thigh:Marker3
,ID,"F40A0","F40A0","F40A0","F4020","F4020","F4020","F40D0","F40D0","F40D0","F2050","F2050","F2050","F40F0","F40F0","F40F0","F4120","F4120","F4120","F40B0","F40B0","F40B0","F4080","F4080","F4080","F40E0","F40E0","F40E0"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.093552,0.802884,-0.311152,-0.187018,0.680540,-0.350289,-0.064737,0.776001,-0.271401,-0.238987,0.666511,-0.119278,-0.301427,0.467080,-0.123895,-0.273936,0.576813,-0.159390,0.166031,0.855300,-0.231032,-0.098105,0.797482,-0.060614,-0.081802,0.793871,-0.184180
1,0.010000,-0.093538,0.802872,-0.311178,-0.187167,0.680547,-0.350343,-0.064678,0.775972,-0.271402,-0.239183,0.666561,-0.119354,-0.301508,0.467135,-0.123875,-0.273868,0.576812,-0.159315,0.166031,0.855300,-0.231032,-0.098111,0.797495,-0.060589,-0.081856,0.793825,-0.184213
2,0.020000,-0.093519,0.802860,-0.311206,-0.187079,0.680539,-0.350311,-0.064737,0.776001,-0.271401,-0.239129,0.666538,-0.119314,-0.301490,0.467109,-0.123922,-0.273880,0.576804,-0.159377,0.165958,0.855325,-0.231009,-0.098191,0.797476,-0.060575,-0.081833,0.793891,-0.184169
3,0.030000,-0.093515,0.802855,-0.311188,-0.187088,0.680581,-0.350295,-0.064644,0.775957,-0.271430,-0.239206,0.666565,-0.119354,-0.301553,0.467117,-0.123912,-0.274046,0.576855,-0.159363,0.165958,0.855325,-0.231009,-0.098307,0.797455,-0.060566,-0.081917,0.793874,-0.184161
4,0.040000,-0.093519,0.802860,-0.311206,-0.187204,0.680537,-0.350318,-0.064737,0.776001,-0.271401,-0.239187,0.666562,-0.119355,-0.301522,0.467122,-0.123926,-0.273996,0.576813,-0.159427,0.165958,0.855325,-0.231009,-0.098319,0.797467,-0.060541,-0.081800,0.793817,-0.184169
5,0.050000,-0.093616,0.802895,-0.311162,-0.187260,0.680567,-0.350309,-0.064737,0.776001,-0.271401,-0.239067,0.666513,-0.119301,-0.301485,0.467130,-0.123887,-0.273893,0.576798,-0.159334,0.165958,0.855325,-0.231009,-0.098314,0.797467,-0.060540,-0.082084,0.793853,-0.184132
