Format Version,1.23,Take Name,H_short_2,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2021-03-23 04.00.49.646 ,Total Frames in Take,1576,Total Exported Frames,1576,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Isomed:Marker1,Isomed:Marker1,Isomed:Marker1,Isomed:Marker2,Isomed:Marker2,Isomed:Marker2,Isomed:Marker3,Isomed:Marker3,Isomed:Marker3,Shank:Marker1,Shank:Marker1,Shank:Marker1,Shank:Marker2,Shank:Marker2,Shank:Marker2,Shank:Marker3,Shank:Marker3,Shank:Marker3,Thigh:Marker1,Thigh:Marker1,Thigh:Marker1,Thigh:Marker2,Thigh:Marker2,Thigh:Marker2,Thigh:Marker3,Thigh:Marker3,Thigh:Marker3
,ID,"10C300","10C300","10C300","10C310","10C310","10C310","10C330","10C330","10C330","10C2C0","10C2C0","10C2C0","10C360","10C360","10C360","10C340","10C340","10C340","10C320","10C320","10C320","10C2B0","10C2B0","10C2B0","10C350","10C350","10C350"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.061157,0.826932,-0.325730,-0.193027,0.748291,-0.365040,-0.043183,0.790505,-0.286687,-0.251095,0.753697,-0.133517,-0.373951,0.584880,-0.139461,-0.312365,0.679759,-0.174182,0.172084,0.850522,-0.236105,-0.095664,0.827117,-0.071757,-0.074319,0.817315,-0.194857
1,0.010000,-0.061157,0.826932,-0.325730,-0.192924,0.748259,-0.365047,-0.043183,0.790505,-0.286687,-0.251106,0.753694,-0.133532,-0.377262,0.586852,-0.140136,-0.312155,0.679744,-0.174199,0.172149,0.850544,-0.236133,-0.095502,0.827147,-0.071775,-0.074399,0.817288,-0.194860
2,0.020000,-0.061157,0.826932,-0.325730,-0.192942,0.748272,-0.365060,-0.043133,0.790522,-0.286674,-0.251106,0.753694,-0.133532,-0.377297,0.586845,-0.140164,-0.312118,0.679753,-0.174221,0.171970,0.850542,-0.236097,-0.095404,0.827115,-0.071758,-0.074318,0.817270,-0.194838
3,0.030000,-0.061157,0.826932,-0.325730,-0.192994,0.748297,-0.365047,-0.043402,0.790554,-0.286667,-0.251054,0.753669,-0.133532,-0.377199,0.586694,-0.140124,-0.312197,0.679729,-0.174215,0.171992,0.850458,-0.236075,-0.095594,0.827072,-0.071804,-0.074307,0.817272,-0.194806
4,0.040000,-0.061157,0.826932,-0.325730,-0.193035,0.748290,-0.365086,-0.043256,0.790510,-0.286654,-0.251116,0.753692,-0.133516,-0.377167,0.586767,-0.140123,-0.312155,0.679744,-0.174199,0.172084,0.850522,-0.236105,-0.095589,0.827051,-0.071798,-0.074204,0.817218,-0.194840
5,0.050000,-0.061157,0.826932,-0.325730,-0.192991,0.748283,-0.365005,-0.043200,0.790535,-0.286689,-0.251095,0.753697,-0.133517,-0.377263,0.586824,-0.140126,-0.312318,0.679741,-0.174181,0.171795,0.850525,-0.236092,-0.095510,0.826994,-0.071802,-0.074160,0.817210,-0.194825
6,0.060000,-0.061157,0.826932,-0.325730,-0.192907,0.748265,-0.365025,-0.043183,0.790505,-0.286687,-0.251106,0.753694,-0.133532,-0.377200,0.586848,-0.140117,-0.312197,0.679729,-0.174215,0.171944,0.850543,-0.236199,-0.095751,0.826985,-0.071834,-0.074168,0.817204,-0.194840
7,0.070000,-0.061083,0.826902,-0.325737,-0.192907,0.748265,-0.365025,-0.043306,0.790494,-0.286667,-0.251095,0.753697,-0.133517,-0.377215,0.586821,-0.140072,-0.312155,0.679744,-0.174199,0.171944,0.850543,-0.236199,-0.095809,0.827029,-0.071777,-0.074168,0.817204,-0.194840
8,0.080000,-0.061157,0.826932,-0.325730,-0.192907,0.748265,-0.365025,-0.043072,0.790506,-0.286664,-0.251106,0.753694,-0.133532,-0.377328,0.586840,-0.140062,-0.312155,0.679744,-0.174199,0.172059,0.850482,-0.236100,-0.095491,0.827025,-0.071830,-0.074221,0.817217,-0.194853
9,0.090000,-0.061157,0.826932,-0.325730,-0.192942,0.748272,-0.365060,-0.043292,0.790484,-0.286693,-0.251116,0.753692,-0.133516,-0.376993,0.586671,-0.140138,-0.312281,0.679770,-0.174188,0.171893,0.850511,-0.236137,-0.095658,0.827041,-0.071829,-0.074329,0.817200,-0.194859
10,0.100000,-0.061083,0.826902,-0.325737,-0.192965,0.748289,-0.365005,-0.043183,0.790505,-0.286687,-0.251095,0.753697,-0.133517,-0.376789,0.586548,-0.140100,-0.312299,0.679766,-0.174191,0.171951,0.850464,-0.236214,-0.095598,0.827025,-0.071873,-0.074319,0.817196,-0.194861
11,0.110000,-0.061016,0.826872,-0.325742,-0.192974,0.748284,-0.365033,-0.043183,0.790505,-0.286687,-0.251107,0.753664,-0.133517,-0.376733,0.586473,-0.140032,-0.312187,0.679726,-0.174179,0.172068,0.850529,-0.236142,-0.095551,0.826975,-0.071825,-0.074372,0.817208,-0.194873
12,0.120000,-0.061090,0.826902,-0.325735,-0.192981,0.748283,-0.365027,-0.043306,0.790494,-0.286667,-0.251059,0.753681,-0.133516,-0.376683,0.586477,-0.140027,-0.312247,0.679747,-0.174179,0.171854,0.850478,-0.236169,-0.095820,0.827003,-0.071853,-0.074392,0.817192,-0.194896
13,0.130000,-0.061016,0.826872,-0.325742,-0.192902,0.748247,-0.365052,-0.043279,0.790566,-0.286687,-0.251095,0.753697,-0.133517,-0.376582,0.586422,-0.140016,-0.312230,0.679750,-0.174176,0.172033,0.850480,-0.236205,-0.095717,0.827007,-0.071874,-0.074392,0.817192,-0.194896
14,0.140000,-0.061083,0.826902,-0.325737,-0.192963,0.748271,-0.365013,-0.043306,0.790494,-0.286667,-0.251134,0.753681,-0.133534,-0.376589,0.586420,-0.139982,-0.312098,0.679720,-0.174190,0.171752,0.850532,-0.236230,-0.095742,0.826975,-0.071845,-0.074512,0.817181,-0.194878
15,0.150000,-0.061157,0.826932,-0.325730,-0.192971,0.748285,-0.365052,-0.043183,0.790505,-0.286687,-0.251116,0.753692,-0.133516,-0.376561,0.586465,-0.139984,-0.312230,0.679750,-0.174176,0.171752,0.850532,-0.236230,-0.095513,0.826886,-0.071843,-0.074301,0.817166,-0.194901
