Format Version,1.23,Take Name,Fifty_070_2,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2021-03-23 03.13.15.620 ,Total Frames in Take,1408,Total Exported Frames,1408,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Isomed:Marker1,Isomed:Marker1,Isomed:Marker1,Isomed:Marker2,Isomed:Marker2,Isomed:Marker2,Isomed:Marker3,Isomed:Marker3,Isomed:Marker3,Shank:Marker1,Shank:Marker1,Shank:Marker1,Shank:Marker2,Shank:Marker2,Shank:Marker2,Shank:Marker3,Shank:Marker3,Shank:Marker3,Thigh:Marker1,Thigh:Marker1,Thigh:Marker1,Thigh:Marker2,Thigh:Marker2,Thigh:Marker2,Thigh:Marker3,Thigh:Marker3,Thigh:Marker3
,ID,"100FA0","100FA0","100FA0","101040","101040","101040","100F70","100F70","100F70","100800","100800","100800","100E40","100E40","100E40","100F50","100F50","100F50","100E80","100E80","100E80","100930","100930","100930","100F90","100F90","100F90"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.086036,0.807775,-0.317329,-0.178953,0.685490,-0.355725,-0.054546,0.780601,-0.277835,-0.232251,0.671843,-0.124629,-0.289200,0.470907,-0.128609,-0.264406,0.581279,-0.164419,0.168174,0.850406,-0.234910,-0.101275,0.799880,-0.068995,-0.092386,0.797650,-0.192438
1,0.010000,-0.086036,0.807775,-0.317329,-0.179022,0.685478,-0.355695,-0.054518,0.780598,-0.277805,-0.232161,0.671804,-0.124642,-0.289340,0.470926,-0.128647,-0.264309,0.581255,-0.164429,0.168166,0.850482,-0.234947,-0.101338,0.799843,-0.069001,-0.091670,0.797544,-0.193004
2,0.020000,-0.086037,0.807779,-0.317348,-0.178997,0.685516,-0.355713,-0.054546,0.780601,-0.277835,-0.232251,0.671843,-0.124629,-0.289233,0.470921,-0.128664,-0.264272,0.581266,-0.164439,0.167984,0.850469,-0.234929,-0.101338,0.799843,-0.069001,-0.091442,0.797449,-0.193007
3,0.030000,-0.086036,0.807775,-0.317329,-0.178953,0.685490,-0.355725,-0.054539,0.780583,-0.277825,-0.232176,0.671807,-0.124626,-0.289324,0.470921,-0.128617,-0.264431,0.581275,-0.164429,0.168174,0.850406,-0.234910,-0.101375,0.799827,-0.069016,-0.092505,0.797690,-0.192451
4,0.040000,-0.086036,0.807775,-0.317329,-0.179066,0.685505,-0.355684,-0.054546,0.780601,-0.277835,-0.232225,0.671831,-0.124654,-0.289386,0.470968,-0.128624,-0.264359,0.581264,-0.164444,0.167977,0.850474,-0.234919,-0.101330,0.799859,-0.068996,-0.091442,0.797449,-0.193007
5,0.050000,-0.086037,0.807779,-0.317348,-0.178997,0.685516,-0.355713,-0.054546,0.780601,-0.277835,-0.232175,0.671828,-0.124667,-0.289223,0.470936,-0.128636,-0.264311,0.581217,-0.164426,0.168174,0.850406,-0.234910,-0.101333,0.799859,-0.069017,-0.092505,0.797690,-0.192451
6,0.060000,-0.086036,0.807775,-0.317329,-0.178943,0.685489,-0.355727,-0.054546,0.780601,-0.277835,-0.232287,0.671828,-0.124649,-0.289195,0.470910,-0.128624,-0.264220,0.581212,-0.164465,0.168174,0.850406,-0.234910,-0.101382,0.799865,-0.069014,-0.092505,0.797690,-0.192451
7,0.070000,-0.085946,0.807775,-0.317362,-0.178943,0.685489,-0.355727,-0.054422,0.780609,-0.277859,-0.232208,0.671830,-0.124640,-0.289397,0.470976,-0.128624,-0.264406,0.581265,-0.164480,0.167984,0.850469,-0.234929,-0.101551,0.799826,-0.069041,-0.092505,0.797690,-0.192451
8,0.080000,-0.086037,0.807779,-0.317348,-0.178953,0.685490,-0.355725,-0.054539,0.780583,-0.277825,-0.232271,0.671856,-0.124652,-0.289200,0.470907,-0.128609,-0.264321,0.581206,-0.164452,0.167984,0.850399,-0.234882,-0.101453,0.799782,-0.069001,-0.091410,0.797387,-0.193024
9,0.090000,-0.086037,0.807779,-0.317348,-0.179066,0.685505,-0.355684,-0.054567,0.780586,-0.277855,-0.232271,0.671856,-0.124652,-0.289358,0.470951,-0.128630,-0.264386,0.581260,-0.164459,0.167984,0.850399,-0.234882,-0.101551,0.799826,-0.069041,-0.092505,0.797690,-0.192451
